tourney_name,Date,tourney_level,Court,Surface,Round,Best of,winner_name,loser_name,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL
Monte Carlo Masters,2025-04-10,Masters 1000,Outdoor,Clay,3rd Round,3.0,Davidovich Fokina A.,Draper J.,6.0,3.0,6.0,7.0,6.0,4.0,,,,,2.0,1.0,Completed,2.75,1.44,2.65,1.55
Monte Carlo Masters,2025-04-10,Masters 1000,Outdoor,Clay,3rd Round,3.0,Popyrin A.,Ruud C.,6.0,4.0,3.0,6.0,7.0,5.0,,,,,2.0,1.0,Completed,4.33,1.22,4.75,1.23
Monte Carlo Masters,2025-04-10,Masters 1000,Outdoor,Clay,3rd Round,3.0,Alcaraz C.,Altmaier D.,6.0,3.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.04,13.0,1.13,5.37
Monte Carlo Masters,2025-04-10,Masters 1000,Outdoor,Clay,3rd Round,3.0,Musetti L.,Berrettini M.,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,2.1,1.73,2.12,1.81
Monte Carlo Masters,2025-04-10,Masters 1000,Outdoor,Clay,3rd Round,3.0,De Minaur A.,Medvedev D.,6.0,2.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.67,2.2,1.63,2.44
Monte Carlo Masters,2025-04-10,Masters 1000,Outdoor,Clay,3rd Round,3.0,Tsitsipas S.,Borges N.,6.0,1.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.22,4.33,1.28,3.84
Monte Carlo Masters,2025-04-10,Masters 1000,Outdoor,Clay,3rd Round,3.0,Dimitrov G.,Tabilo A.,6.0,3.0,3.0,6.0,6.0,2.0,,,,,2.0,1.0,Completed,1.62,2.3,1.61,2.48
Monte Carlo Masters,2025-04-11,Masters 1000,Outdoor,Clay,Quarterfinals,3.0,Davidovich Fokina A.,Popyrin A.,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.53,2.5,1.58,2.56
Monte Carlo Masters,2025-04-11,Masters 1000,Outdoor,Clay,Quarterfinals,3.0,Alcaraz C.,Fils A.,4.0,6.0,7.0,5.0,6.0,3.0,,,,,2.0,1.0,Completed,1.36,3.2,1.42,3.13
Monte Carlo Masters,2025-04-11,Masters 1000,Outdoor,Clay,Quarterfinals,3.0,De Minaur A.,Dimitrov G.,6.0,0.0,6.0,0.0,,,,,,,2.0,0.0,Completed,1.57,2.38,1.6,2.51
Monte Carlo Masters,2025-04-11,Masters 1000,Outdoor,Clay,Quarterfinals,3.0,Musetti L.,Tsitsipas S.,1.0,6.0,6.0,3.0,6.0,4.0,,,,,2.0,1.0,Completed,2.1,1.73,2.14,1.8
Monte Carlo Masters,2025-04-12,Masters 1000,Outdoor,Clay,Semifinals,3.0,Alcaraz C.,Davidovich Fokina A.,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.2,4.5,1.23,4.7
Monte Carlo Masters,2025-04-12,Masters 1000,Outdoor,Clay,Semifinals,3.0,Musetti L.,De Minaur A.,1.0,6.0,6.0,4.0,7.0,6.0,,,,,2.0,1.0,Completed,2.2,1.67,2.15,1.79
Monte Carlo Masters,2025-04-13,Masters 1000,Outdoor,Clay,The Final,3.0,Alcaraz C.,Musetti L.,3.0,6.0,6.0,1.0,6.0,0.0,,,,,2.0,0.0,Completed,1.2,4.5,1.24,4.6
BMW Open,2025-04-14,ATP500,Outdoor,Clay,1st Round,3.0,Griekspoor T.,Tien L.,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.36,3.2,1.4,3.2
BMW Open,2025-04-14,ATP500,Outdoor,Clay,1st Round,3.0,Kecmanovic M.,Giron M.,6.0,2.0,6.0,7.0,7.0,6.0,,,,,2.0,1.0,Completed,1.4,3.0,1.45,2.93
BMW Open,2025-04-14,ATP500,Outdoor,Clay,1st Round,3.0,Goffin D.,Harris B.,6.0,2.0,6.0,7.0,6.0,4.0,,,,,2.0,1.0,Completed,1.3,3.5,1.34,3.5
BMW Open,2025-04-14,ATP500,Outdoor,Clay,1st Round,3.0,Shelton B.,Gojo B.,4.0,6.0,7.0,6.0,7.0,6.0,,,,,2.0,1.0,Completed,1.44,2.75,1.48,2.83
BMW Open,2025-04-14,ATP500,Outdoor,Clay,1st Round,3.0,Zverev A.,Muller A.,6.0,4.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.17,5.0,1.18,5.46
BMW Open,2025-04-14,ATP500,Outdoor,Clay,1st Round,3.0,Altmaier D.,Tseng C.H.,7.0,6.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.44,2.75,1.51,2.74
Barcelona Open,2025-04-14,ATP500,Outdoor,Clay,1st Round,3.0,Martinez P.,Nakashima B.,7.0,5.0,5.0,7.0,6.0,4.0,,,,,2.0,1.0,Completed,2.1,1.73,2.19,1.75
Barcelona Open,2025-04-14,ATP500,Outdoor,Clay,1st Round,3.0,Korda S.,Arnaldi M.,3.0,6.0,6.0,3.0,6.0,2.0,,,,,2.0,1.0,Completed,2.0,1.8,2.22,1.72
Barcelona Open,2025-04-14,ATP500,Outdoor,Clay,1st Round,3.0,Fearnley J.,Carballes Baena R.,6.0,1.0,7.0,5.0,,,,,,,2.0,0.0,Completed,,,4.94,1.2
Barcelona Open,2025-04-14,ATP500,Outdoor,Clay,1st Round,3.0,Medjedovic H.,Mpetshi G.,7.0,5.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.44,2.75,1.46,2.91
Barcelona Open,2025-04-14,ATP500,Outdoor,Clay,1st Round,3.0,Rune H.,Ramos A.,7.0,5.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.13,6.0,1.16,6.13
Barcelona Open,2025-04-14,ATP500,Outdoor,Clay,1st Round,3.0,Rublev A.,De Jong J.,6.0,1.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.36,3.2,1.4,3.18
BMW Open,2025-04-15,ATP500,Outdoor,Clay,1st Round,3.0,Darderi L.,O Connell C.,7.0,6.0,7.0,6.0,,,,,,,2.0,0.0,Completed,,,,
BMW Open,2025-04-15,ATP500,Outdoor,Clay,1st Round,3.0,Van De Zandschulp B.,Bautista Agut R.,6.0,4.0,3.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,1.73,2.1,1.66,2.34
BMW Open,2025-04-15,ATP500,Outdoor,Clay,1st Round,3.0,Hanfmann Y.,Mensik J.,7.0,6.0,4.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,3.2,1.36,3.41,1.36
BMW Open,2025-04-15,ATP500,Outdoor,Clay,1st Round,3.0,Marozsan F.,Engel J.,6.0,4.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.13,6.0,1.16,5.8
